BNF_CODE,CHEMICAL_SUBSTANCE_BNF_DESCR,BNF_DESCRIPTION,BNF_CHAPTER_PLUS_CODE
21300000106,Eye Products,Blink Intensive Tears 0.2% eye drops,21: Appliances
21300000112,Eye Products,Hylo-Care eye drops preservative free,21: Appliances
21300000130,Eye Products,Sodium chloride 5% eye drops,21: Appliances
21300000146,Eye Products,Systane Ultra eye drops,21: Appliances
21300000178,Eye Products,Evolve HA 0.2% eye drops preservative free,21: Appliances
21300000302,Eye Products,Xailin Fresh 0.5% eye drops 0.4ml unit dose preservative free,21: Appliances
21300000401,Eye Products,Liquifilm Tears 1.4% eye drops,21: Appliances
21300000914,Eye Products,Evolve Revive 0.2% eye drops preservative free,21: Appliances
21300000941,Eye Products,Tears Naturale II eye drops,21: Appliances
22801008006,Tubing And Accessories,Elasticated leg bag strap,22: Incontinence Appliances
23053370505,Adhesive Discs/Rings/Pads/Plasters,Comfort flange extender large,23: Stoma Appliances
23150901507,Adhesive Removers (Sprays/Liquids/Wipes),CliniPeel No Sting medical adhesive remover aerosol,23: Stoma Appliances
23301083114,Belts,Fulcionel made to measure prolapse hernia support belt unisex,23: Stoma Appliances
23351003821,Colostomy Bags,"SenSura colostomy bag with dual filter and split film, maxi soft cover 10-76mm",23: Stoma Appliances
23354803629,Colostomy Bags,"Esteem+ colostomy bag with filter, standard 25mm clear",23: Stoma Appliances
23601006368,Ileostomy Bags,"SenSura Mio light convex ileostomy bag with filter, midi 15-33mm",23: Stoma Appliances
23601006379,Ileostomy Bags,"SenSura Mio deep convex ileostomy bag with filter, maxi 15-33mm",23: Stoma Appliances
23604106546,Ileostomy Bags,"Confidence BE soft convex ileostomy bag with filter and overlap, large 13mm-52mm black",23: Stoma Appliances
23700707018,Irrigation Washout Appliances,Irri-Drain adhesive,23: Stoma Appliances
23801068002,Skin Fillers And Protectives,Independence Fusion 1ml applicator,23: Stoma Appliances
23806008001,Skin Fillers And Protectives,Clinifilm wipes,23: Stoma Appliances
23850708511,Skin Protectors,Dansac GX-tra Seals 30mm,23: Stoma Appliances
23850708512,Skin Protectors,Dansac GX-tra Seals 40mm,23: Stoma Appliances
0101021B0BQAAAH,Alginic acid compound preparations,Acidex oral suspension aniseed,01: Gastro-Intestinal System
0101021B0BQACAL,Alginic acid compound preparations,Acidex Advance oral suspension aniseed,01: Gastro-Intestinal System
0101021B0BQADAL,Alginic acid compound preparations,Acidex Advance oral suspension peppermint,01: Gastro-Intestinal System
0102000A0AAABAB,Alverine citrate,Alverine 120mg capsules,01: Gastro-Intestinal System
0102000T0BBAAAF,Peppermint oil,Colpermin gastro-resistant modified-release capsules,01: Gastro-Intestinal System
0104020L0BBAMAR,Loperamide hydrochloride,Imodium Instants 2mg orodispersible tablets,01: Gastro-Intestinal System
0105010B0BDADAL,Mesalazine (Systemic),Salofalk 2g/59ml enema,01: Gastro-Intestinal System
0106020I0AAAIAI,Docusate sodium,Docusate 50mg/5ml oral solution sugar free,01: Gastro-Intestinal System
0106020M0AAAPAP,Senna,Senna 15mg tablets,01: Gastro-Intestinal System
0106040M0BGABAA,Macrogol 3350,CosmoCol Orange Flavour oral powder sachets,01: Gastro-Intestinal System
0106040M0BGAFAA,Macrogol 3350,CosmoCol Plain oral powder sachets,01: Gastro-Intestinal System
0107010Z0BCACAG,Zinc oxide,Anusol suppositories,01: Gastro-Intestinal System
0201010F0AAAFAF,Digoxin,Digoxin 250microgram tablets,02: Cardiovascular System
0202010D0AABCBC,Chlorothiazide,Chlorothiazide 250mg/5ml oral solution,02: Cardiovascular System
0202020D0AAAFAF,Bumetanide,Bumetanide 5mg tablets,02: Cardiovascular System
0202040C0AAAAAA,Co-amilozide (Amiloride hydrochloride/hydrochlorothiazide),Co-amilozide 5mg/50mg tablets,02: Cardiovascular System
020400040AAAAAA,Co-tenidone (Atenolol/chlortalidone),Co-tenidone 50mg/12.5mg tablets,02: Cardiovascular System
020400040AAABAB,Co-tenidone (Atenolol/chlortalidone),Co-tenidone 100mg/25mg tablets,02: Cardiovascular System
0205010J0AAAHAH,Hydralazine hydrochloride,Hydralazine 50mg tablets,02: Cardiovascular System
0205051U0AAACAC,Trandolapril,Trandolapril 2mg capsules,02: Cardiovascular System
0205052A0AAAAAA,Irbesartan with diuretic,Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets,02: Cardiovascular System
0205052W0AAACAC,Eprosartan,Eprosartan 600mg tablets,02: Cardiovascular System
0206010F0AABIBI,Glyceryl trinitrate,Glyceryl trinitrate 10mg/24hours transdermal patches,02: Cardiovascular System
0206010K0AAACAC,Isosorbide mononitrate,Isosorbide mononitrate 20mg tablets,02: Cardiovascular System
0206010K0AAATAT,Isosorbide mononitrate,Isosorbide mononitrate 25mg modified-release tablets,02: Cardiovascular System
0206020A0BBAAAA,Amlodipine,Istin 5mg tablets,02: Cardiovascular System
0206020C0AAAUAU,Diltiazem hydrochloride,Diltiazem 120mg modified-release capsules,02: Cardiovascular System
0206020R0BGAAAH,Nifedipine,Coracten SR 20mg capsules,02: Cardiovascular System
0206020R0BRACAN,Nifedipine,Adipine XL 30mg tablets,02: Cardiovascular System
0206020R0BWABAR,Nifedipine,Tensipine MR 20 tablets,02: Cardiovascular System
0206020T0AAADAD,Verapamil hydrochloride,Verapamil 80mg tablets,02: Cardiovascular System
0206020T0BDAEAH,Verapamil hydrochloride,Securon SR 240mg tablets,02: Cardiovascular System
0207020Y0BDAAAE,Midodrine hydrochloride,Bramox 2.5mg tablets,02: Cardiovascular System
0207020Y0BDABAF,Midodrine hydrochloride,Bramox 5mg tablets,02: Cardiovascular System
0208010D0BBAGAG,Enoxaparin,Clexane Forte 150mg/1ml inj pre-filled syringes,02: Cardiovascular System
0208020H0AAAAAA,Acenocoumarol,Acenocoumarol 1mg tablets,02: Cardiovascular System
0209000L0AAAKAK,Dipyridamole,Dipyridamole 50mg/5ml oral suspension sugar free,02: Cardiovascular System
0212000L0BBAAAA,Ezetimibe,Ezetrol 10mg tablets,02: Cardiovascular System
0301011R0AAAQAQ,Salbutamol,Salbutamol 200micrograms/dose dry powder inhaler,03: Respiratory System
0302000N0BBASAS,Fluticasone propionate (Inhalation),Flixotide 100micrograms/dose Accuhaler,03: Respiratory System
0302000N0BDAABJ,Fluticasone propionate (Inhalation),Flutiform 125micrograms/dose / 5micrograms/dose inhaler,03: Respiratory System
0302000Y0BBAAAA,Formoterol/glycopyrronium/budesonide,Trixeo Aerosphere 5microg / 7.2microg / 160microg/dose inh,03: Respiratory System
0307000J0AAACAC,Carbocisteine,Carbocisteine 250mg/5ml oral solution,03: Respiratory System
0307000J0AAAHAH,Carbocisteine,Carbocisteine 250mg/5ml oral solution sugar free,03: Respiratory System
0401020K0AAAJAJ,Diazepam,Diazepam 10mg tablets,04: Central Nervous System
0401020K0AAAWAW,Diazepam,Diazepam 2mg/5ml oral solution sugar free,04: Central Nervous System
0402010A0AAAGAG,Amisulpride,Amisulpride 100mg tablets,04: Central Nervous System
0402010ABBCABAW,Quetiapine,Sondate XL 200mg tablets,04: Central Nervous System
0402010ABBCADAY,Quetiapine,Sondate XL 400mg tablets,04: Central Nervous System
0402010ABBIAFBG,Quetiapine,Biquelle XL 600mg tablets,04: Central Nervous System
0402010U0AAAHAH,Sulpiride,Sulpiride 200mg tablets,04: Central Nervous System
0402030Q0AAAAAA,Valproic acid,Valproic acid 250mg gastro-resistant tablets,04: Central Nervous System
0402030Q0AAABAB,Valproic acid,Valproic acid 500mg gastro-resistant tablets,04: Central Nervous System
0403030E0AAAEAE,Fluoxetine hydrochloride,Fluoxetine 60mg capsules,04: Central Nervous System
0403040W0BBADAD,Venlafaxine,Efexor XL 75mg capsules,04: Central Nervous System
0404000U0BCAAAB,Lisdexamfetamine dimesylate,Elvanse 30mg capsules,04: Central Nervous System
0406000T0BFAAAK,Prochlorperazine maleate,Buccastem M 3mg tablets,04: Central Nervous System
0407010N0AAAHAH,Co-dydramol (Dihydrocodeine/paracetamol),Co-dydramol 20mg/500mg tablets,04: Central Nervous System
0407010N0AAAIAI,Co-dydramol (Dihydrocodeine/paracetamol),Co-dydramol 30mg/500mg tablets,04: Central Nervous System
0407020A0BBAIAE,Fentanyl,Durogesic DTrans 25micrograms/hour transdermal patches,04: Central Nervous System
0407020A0BBAMAU,Fentanyl,Durogesic DTrans 12micrograms/hour transdermal patches,04: Central Nervous System
0407020A0BQABAE,Fentanyl,Fencino 25micrograms/hour transdermal patches,04: Central Nervous System
0407020ADBJABAD,Oxycodone hydrochloride,Shortec 10mg capsules,04: Central Nervous System
0407020B0BEAAAH,Buprenorphine,BuTrans 5micrograms/hour transdermal patches,04: Central Nervous System
0407020B0BHABAI,Buprenorphine,Butec 10micrograms/hour transdermal patches,04: Central Nervous System
0407020C0AAABAB,Codeine phosphate,Codeine 25mg/5ml oral solution,04: Central Nervous System
0407041Z0AAACAC,Zolmitriptan,Zolmitriptan 5mg/0.1ml nasal spray unit dose,04: Central Nervous System
040801050BBAAAA,Topiramate,Topamax 50mg tablets,04: Central Nervous System
040801050BBACAC,Topiramate,Topamax 200mg tablets,04: Central Nervous System
040801060AACRCR,Clobazam,Clobazam 5mg/5ml oral suspension sugar free,04: Central Nervous System
0408010A0BDACAM,Levetiracetam,Desitrend 1000mg granules sachets,04: Central Nervous System
0408010ADBBACAC,Zonisamide,Zonegran 50mg capsules,04: Central Nervous System
0408010ADBBADAA,Zonisamide,Zonegran 100mg capsules,04: Central Nervous System
0408010AHBBACAC,Lacosamide,Vimpat 150mg tablets,04: Central Nervous System
0408010AIAAABAB,Eslicarbazepine acetate,Eslicarbazepine 200mg tablets,04: Central Nervous System
0408010ALAAAEAE,Brivaracetam,Brivaracetam 100mg tablets,04: Central Nervous System
0408010ANAAACAC,Cenobamate,Cenobamate 150mg tablets,04: Central Nervous System
0408010G0AAAKAK,Gabapentin,Gabapentin 800mg tablets,04: Central Nervous System
0408010H0AAAQAQ,Lamotrigine,Lamotrigine 25mg dispersible tablets sugar free,04: Central Nervous System
0408010H0AAAWAW,Lamotrigine,Lamotrigine 100mg dispersible tablets sugar free,04: Central Nervous System
0408010H0BBAEAQ,Lamotrigine,Lamictal 25mg dispersible tablets,04: Central Nervous System
0408010H0BBAFAW,Lamotrigine,Lamictal 100mg dispersible tablets,04: Central Nervous System
0408010W0BBADAA,Sodium valproate,Epilim 200mg/5ml liquid,04: Central Nervous System
0408010W0BIACBR,Sodium valproate,Episenta 300mg modified-release capsules,04: Central Nervous System
0408010W0BIADBS,Sodium valproate,Episenta 500mg modified-release granules sachets,04: Central Nervous System
0409010B0AAAAAA,Amantadine hydrochloride,Amantadine 100mg capsules,04: Central Nervous System
0409010K0AAAMAM,Co-beneldopa (Benserazide/levodopa),Co-beneldopa 12.5mg/50mg dispersible tablets sugar free,04: Central Nervous System
0501050A0AAADAD,Azithromycin,Azithromycin 500mg tablets,05: Infections
0501050H0AAAMAM,Erythromycin ethylsuccinate,Erythromycin ethyl succinate 250mg/5ml susp sugar free,05: Infections
0501120X0AAAAAA,Levofloxacin,Levofloxacin 500mg tablets,05: Infections
0601012S0BDALAL,Isophane insulin,Insulatard Penfill 100units/ml inj 3ml cartridges,06: Endocrine System
0601021M0AAAMAM,Gliclazide,Gliclazide 30mg modified-release tablets,06: Endocrine System
0601023A0AAAAAA,Acarbose,Acarbose 50mg tablets,06: Endocrine System
0601023AFBBABAB,Linagliptin/metformin,Jentadueto 2.5mg/1000mg tablets,06: Endocrine System
0601023ALBBABAB,Dapagliflozin/metformin,Xigduo 5mg/1000mg tablets,06: Endocrine System
0601023AUBBAAAA,Ins degludec/liraglutide,Xultophy 100units/ml / 3.6mg/ml inj 3ml pre-filled pens,06: Endocrine System
0601023Y0BBABAB,Exenatide,Byetta 10micrograms/0.04ml inj 2.4ml pre-filled pens,06: Endocrine System
0601023Z0AAAAAA,Metformin hydrochloride/vildagliptin,Vildagliptin 50mg / Metformin 1g tablets,06: Endocrine System
0601060D0BJADA0,Glucose blood testing reagents,FreeStyle Optium testing strips,06: Endocrine System
0601060W0BCAAA0,Ketone blood testing reagents,FreeStyle Optium beta-ketone testing strips,06: Endocrine System
0602010V0AAGAGA,Levothyroxine sodium,Levothyroxine sodium 50micrograms/5ml soln sugar free,06: Endocrine System
0603020C0AAABAB,Betamethasone sodium phosphate,Betamethasone 500microgram soluble tablets sugar free,06: Endocrine System
0603020J0AADDDD,Hydrocortisone,Hydrocortisone 5mg tablets,06: Endocrine System
0604011G0BFAABL,Estradiol,Evorel 50 patches,06: Endocrine System
0604011G0BPABBJ,Estradiol,Sandrena 1mg gel sachets,06: Endocrine System
0604011L0AAAXAX,Estradiol with progestogen,Estradiol 50microg/Norethist 170microg/24hours ptch,06: Endocrine System
0604011L0BKAAAM,Estradiol with progestogen,Femoston 2/10mg tablets,06: Endocrine System
0604020B0AAAAAA,Dutasteride,Dutasteride 500microgram capsules,06: Endocrine System
0605020E0AAACAC,Desmopressin acetate,Desmopressin 10micrograms/dose nasal spray,06: Endocrine System
0605020E0AABLBL,Desmopressin acetate,Desmopressin 120microgram oral lyophilisates sugar free,06: Endocrine System
0605020E0AABUBU,Desmopressin acetate,Desmopressin 50microgram oral lyophilisates sugar free,06: Endocrine System
0606020A0AAAHAH,Alendronic acid,Alendronic acid 70mg effervescent tablets sugar free,06: Endocrine System
0606020W0AAABAB,Ibandronic acid,Ibandronic acid 50mg tablets,06: Endocrine System
0607010C0AAAAAA,Cabergoline,Cabergoline 500microgram tablets,06: Endocrine System
0702020H0AAAAAA,Econazole nitrate,Econazole 1% cream,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0802010M0BBAAAA,Mycophenolate mofetil,CellCept 250mg capsules,08: Malignant Disease and Immunosuppression
0901011W0BBAAAA,Sodium feredetate,Sytron oral solution,09: Nutrition and Blood
0901020D0AAADAD,Cyanocobalamin,Cyanocobalamin 1mg/1ml solution for injection ampoules,09: Nutrition and Blood
0902021X0AAADAD,Water for injection,Water for injections 10ml ampoules,09: Nutrition and Blood
0904010H0BJASAA,Gluten free breads,Glutafin gluten free fibre loaf sliced,09: Nutrition and Blood
0904010K0BDAAAI,Glucose,Lift Glucose Shot liquid lemon & lime,09: Nutrition and Blood
0904010K0BDABAI,Glucose,Lift Glucose Shot liquid berry,09: Nutrition and Blood
090402000BBNJA0,Enteral nutrition,Jevity 1.5kcal liquid,09: Nutrition and Blood
090402000BBVWA0,Enteral nutrition,Aymes Complete liquid (4 flavours),09: Nutrition and Blood
090402000BBXRA0,Enteral nutrition,Fortisip 2kcal liquid (5 flavours),09: Nutrition and Blood
090402000BBZEAR,Enteral nutrition,Aymes Shake powder 57g sachets banana,09: Nutrition and Blood
0905011D0AAADAD,Calcium carbonate,Calcium carbonate 1.25g effervescent tablets sugar free,09: Nutrition and Blood
0905022S0AAABAB,Sevelamer,Sevelamer 800mg tablets,09: Nutrition and Blood
0905030G0BEAIBC,Sodium fluoride,Colgate FluoriGard 0.05% daily dental rinse alcohol free,09: Nutrition and Blood
0906040B0AAABAB,Alfacalcidol,Alfacalcidol 1microgram capsules,09: Nutrition and Blood
0906040G0AADRDR,Colecalciferol,"Colecalciferol 20,000unit capsules",09: Nutrition and Blood
0906040G0AAEQEQ,Colecalciferol,"Colecalciferol 50,000unit capsules",09: Nutrition and Blood
0906040G0BWAYEL,Colecalciferol,SunVit-D3 400unit Vegan tablets,09: Nutrition and Blood
0906040G0CHAJDS,Colecalciferol,"Aciferol D3 3,000units/ml liquid",09: Nutrition and Blood
0906040G0CHAKCU,Colecalciferol,"Aciferol D3 2,000units/ml liquid",09: Nutrition and Blood
0906040G0CWAABY,Colecalciferol,Evacal D3 1500mg/400unit chewable tablets,09: Nutrition and Blood
0906040G0DFAADH,Colecalciferol,"InVita D3 25,000units/1ml oral solution",09: Nutrition and Blood
1001010AHAAAAAA,Celecoxib,Celecoxib 100mg capsules,10: Musculoskeletal and Joint Diseases
1001010I0AAACAC,Flurbiprofen,Flurbiprofen 100mg tablets,10: Musculoskeletal and Joint Diseases
1001010K0AAAAAA,Indometacin,Indometacin 25mg capsules,10: Musculoskeletal and Joint Diseases
1001010K0AAABAB,Indometacin,Indometacin 50mg capsules,10: Musculoskeletal and Joint Diseases
1001022U0BCAAAB,Triamcinolone acetonide,Kenalog Intra-articular / Intramuscular 40mg/1ml inj vials,10: Musculoskeletal and Joint Diseases
1002020C0AAABAB,Baclofen,Baclofen 5mg/5ml oral solution sugar free,10: Musculoskeletal and Joint Diseases
1003020AAAAABAB,Capsaicin,Capsaicin 0.025% cream,10: Musculoskeletal and Joint Diseases
1003020AFBBADAB,Diclofenac diethyl,Voltarol 12 Hour Emulgel P 2.32% gel,10: Musculoskeletal and Joint Diseases
1003020R0BBAAAA,Piroxicam,Feldene 0.5% gel,10: Musculoskeletal and Joint Diseases
1103010G0AAAFAF,Gentamicin sulfate,Gentamicin 0.3% ear/eye drops,11: Eye
1104020AEAAAAAA,Ciclosporin (Eye Anti Inflammatory),Ciclosporin 0.1% eye drops 0.3ml unit dose,11: Eye
1104020M0BBAAAA,Lodoxamide trometamol,Alomide 0.1% eye drops,11: Eye
1104020W0AAAAAA,Azelastine hydrochloride,Azelastine 0.05% eye drops,11: Eye
1105000E0AAACAC,Cyclopentolate hydrochloride,Cyclopentolate 1% eye drops,11: Eye
1108010D0BCAAAC,Carmellose sodium,Celluvisc 1% eye drops 0.4ml unit dose,11: Eye
1108010D0BCABAD,Carmellose sodium,Celluvisc 0.5% eye drops 0.4ml unit dose,11: Eye
1201010ACAAABAB,Ciprofloxacin,Ciprofloxacin 2mg/ml ear dps 0.25ml ud preservative free,"12: Ear, Nose and Oropharynx"
1202010C0AAAAAA,Beclometasone dipropionate,Beclometasone 50micrograms/dose nasal spray,"12: Ear, Nose and Oropharynx"
1202010M0AAABAB,Fluticasone propionate (Nasal),Fluticasone 400microgram/unit dose nasal drops,"12: Ear, Nose and Oropharynx"
1202020P0AAACAC,Xylometazoline hydrochloride,Xylometazoline 0.1% nasal spray,"12: Ear, Nose and Oropharynx"
1203010E0AAAAAA,Benzydamine hydrochloride,Benzydamine 0.15% mouthwash sugar free,"12: Ear, Nose and Oropharynx"
1203010Q0AAACAC,Lidocaine hydrochloride,Lidocaine 0.33%/Cetylpyridinium chlor 0.1% oromucosal gel SF,"12: Ear, Nose and Oropharynx"
1203010Q0BJAAAI,Lidocaine hydrochloride,Anbesol Adult Strength gel,"12: Ear, Nose and Oropharynx"
1203040E0BBACAB,Chlorhexidine gluconate,Corsodyl Mint 0.2% mouthwash,"12: Ear, Nose and Oropharynx"
1203040E0BBAHAH,Chlorhexidine gluconate,Corsodyl Daily mouthwash cool mint,"12: Ear, Nose and Oropharynx"
130201000BBDRA0,Other emollient preparations,CCS Foot Care cream,13: Skin
1302010U0AAAFAF,Urea,Urea 10% cream,13: Skin
1303000I0BBABAA,Crotamiton,Eurax 10% cream,13: Skin
1304000F0AABBBB,Betamethasone valerate,Betamethasone valerate 0.025% ointment,13: Skin
1304000F0BBAHBB,Betamethasone valerate,Betnovate RD 0.025% ointment,13: Skin
1304000F0BDAABD,Betamethasone valerate,Betacap 0.1% scalp application,13: Skin
1304000H0AABABA,Clobetasone butyrate,Clobetasone 0.05% ointment,13: Skin
1304000V0AABBBB,Hydrocortisone,Hydrocortisone 0.5% ointment,13: Skin
1304000Y0BBACBB,Mometasone furoate,Elocon 0.1% scalp lotion,13: Skin
1305020D0BBAAAA,Calcipotriol,Dovonex 50micrograms/g ointment,13: Skin
1305030B0BBAAAA,Pimecrolimus,Elidel 1% cream,13: Skin
1306010F0BBABAB,Clindamycin phosphate,Dalacin T 1% topical lotion,13: Skin
1306010Y0AAAAAA,Benzoyl peroxide and clindamycin phosphate,Benzoyl peroxide 5% / Clindamycin 1% gel,13: Skin
1306010Z0AAAAAA,Adapalene and benzoyl peroxide,Adapalene 0.1% / Benzoyl peroxide 2.5% gel,13: Skin
130801000BBKNA0,Other sunscreening preparations,Uvistat sun cream SPF 50,13: Skin
1310012F0BBAAAB,Fusidic acid,Fucidin 20mg/g cream,13: Skin
1404000H0AAAFAF,Influenza,"Influenza vaccine (surface antigen, inact) inj 0.5ml pfs",14: Immunological Products and Vaccines
1404000H0AAANAN,Influenza,"Adjuvanted quadrivalent flu vacc (SA, inact) inj 0.5ml pfs",14: Immunological Products and Vaccines
190201000AABNBN,Other individually formulated bought in preparations,Exception Handler Discount Not Deducted Item,19: Other Drugs and Preparations
20030600020,Wound Management & Other Dressings,Allevyn Adhesive dressing 7.5cm x 7.5cm square,20: Dressings
20033000090,Wound Management & Other Dressings,MediScar silicone gel,20: Dressings
20050300406,Tracheostomy & Laryngectomy Appliances,Provox adhesive remover wipes,20: Dressings
20050300407,Tracheostomy & Laryngectomy Appliances,Provox skin barrier wipes,20: Dressings
20050400133,Tracheostomy & Laryngectomy Appliances,Provox cleaning towel,20: Dressings
20050400156,Tracheostomy & Laryngectomy Appliances,Provox Swab cleaning swab large,20: Dressings
20050600006,Tracheostomy & Laryngectomy Appliances,Provox XL voice prosthesis cleaning brush,20: Dressings
20050600115,Tracheostomy & Laryngectomy Appliances,Provox Life Go HME filter cassette,20: Dressings
20050600118,Tracheostomy & Laryngectomy Appliances,Provox Life Night HME filter cassette,20: Dressings
20050600124,Tracheostomy & Laryngectomy Appliances,Provox Life Standard adhesive oval,20: Dressings
20050600126,Tracheostomy & Laryngectomy Appliances,Provox Life Protect HME filter cassette,20: Dressings
20050600168,Tracheostomy & Laryngectomy Appliances,Provox Life Shower tracheostomy protector,20: Dressings
20090000215,Stockinette,Tubigrip bandage 7.5cm size D,20: Dressings
20090001012,Stockinette,Skinnies Viscose stockinette knee socks medium child 1-2,20: Dressings
20200000267,Silk Garments,Skinnies Silk gloves medium child,20: Dressings
21010230102,Other Appliances,Volumatic,21: Appliances
21010900461,Other Appliances,Sharpsafe disposal unit 1.8 litre,21: Appliances
21010900606,Other Appliances,BD AutoShield Duo hypod insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge,21: Appliances
21010900708,Other Appliances,NovoFine Autocover hypod insulin needles for pre-filled /reusable pen injectors screw on 8mm/30gauge,21: Appliances
21012500100,Other Appliances,Sodium bicarbonate 5% ear drops (T & R),21: Appliances
21020000310,Catheters,LoFric catheter male non PVC Tiemann tip 10Ch-18Ch,21: Appliances
21210000012,Dry Mouth Products,Salivix pastilles,21: Appliances
21210000013,Dry Mouth Products,Oralieve moisturising mouth gel,21: Appliances
21220000278,Emollients,Aquadrate 10% cream,21: Appliances
21230000105,Vaginal Moisturisers,ReplensMD vaginal moisturiser tube,21: Appliances
21240000105,Nasal Products,Mandanol 0.9% nasal drops,21: Appliances
21270001002,Lymphoedema Garments,Sigvaris MTM Essential Comfortable class 1 (18-21mmHg) thigh length closed toe with grip top,21: Appliances
21270001516,Lymphoedema Garments,Mediven harmony class 1 (15-21mmHg) combined armsleeve,21: Appliances
21280000168,Anal Irrigation System,Peristeen Plus anal irrigation system regular with toilet bag,21: Appliances
21280000172,Anal Irrigation System,Peristeen Plus anal irrigation system accessory unit regular,21: Appliances
21300000110,Eye Products,Systane eye drops,21: Appliances
21300000134,Eye Products,Optive Fusion 0.1% eye drops,21: Appliances
21320000101,Inhalation Solutions,Nebusal 7% inhalation solution 4ml vials,21: Appliances
21400000100,Bacterial Decolonisation Products,Prontoderm foam,21: Appliances
22801008000,Tubing And Accessories,Conveen velcro bands,22: Incontinence Appliances
23301023158,Belts,Comfizz Level I shallow waistband with silicone grip neutral medium/large,23: Stoma Appliances
23355603846,Colostomy Bags,Welland Aura colostomy bag midi 13-60/80mm beige,23: Stoma Appliances
23601006170,Ileostomy Bags,Assura Post-Op ileostomy bag clear 10-70mm,23: Stoma Appliances
23601006367,Ileostomy Bags,"SenSura Mio light convex ileostomy bag with filter, midi 10-23mm",23: Stoma Appliances
23603456383,Ileostomy Bags,"Pelican Platinum Contour convex ileostomy bag with filter, standard 15-60mm clear",23: Stoma Appliances
23604106535,Ileostomy Bags,"Confidence BE ileostomy bag with filter and overlap, large 13-55mm black",23: Stoma Appliances
23604106560,Ileostomy Bags,"Confidence BE soft convex ileostomy bag with filter and overlap, standard 13mm-38mm white",23: Stoma Appliances
23800298005,Skin Fillers And Protectives,Sorbaderm barrier cream,23: Stoma Appliances
23804708007,Skin Fillers And Protectives,Proshield Plus skin protective,23: Stoma Appliances
23851008517,Skin Protectors,Brava protective seal 27-57mm 2.5mm,23: Stoma Appliances
23944809488,Two Piece Ostomy Systems,Combihesive Natura two piece ostomy system combihesive flange 57mm,23: Stoma Appliances
23944809539,Two Piece Ostomy Systems,"Combihesive Natura two piece ostomy system urostomy bag with Accuseal tap, standard 57mm opaque",23: Stoma Appliances
0101021B0AAALAL,Alginic acid compound preparations,Sodium algin 500mg/Potassium bicarb 100mg/5ml susp SF,01: Gastro-Intestinal System
0102000T0AAAFAF,Peppermint oil,Peppermint oil 0.2ml gastro-resistant modified-release caps,01: Gastro-Intestinal System
0105010B0AAALAL,Mesalazine (Systemic),Mesalazine 2g/59ml enema,01: Gastro-Intestinal System
0105010B0BBAAAA,Mesalazine (Systemic),Asacol 400mg MR gastro-resistant tablets,01: Gastro-Intestinal System
0105010B0BCACAI,Mesalazine (Systemic),Pentasa 500mg modified-release tablets,01: Gastro-Intestinal System
0105010B0BCAGAY,Mesalazine (Systemic),Pentasa 1g modified-release tablets,01: Gastro-Intestinal System
0105010D0AAABAB,Balsalazide sodium,Balsalazide 750mg capsules,01: Gastro-Intestinal System
0105020D0AAACAC,Prednisolone sodium metasulphobenzoate,Prednisolone 20mg/application foam enema,01: Gastro-Intestinal System
0106020C0AAAEAE,Bisacodyl,Bisacodyl 10mg suppositories,01: Gastro-Intestinal System
0106040M0BBABAB,Macrogol 3350,Movicol-Half oral powder 6.9g sachets,01: Gastro-Intestinal System
0107020J0BEAAAE,Hydrocortisone,Proctosedyl ointment,01: Gastro-Intestinal System
0109040N0BEACAZ,Pancreatin,Nutrizym 22 gastro-resistant capsules,01: Gastro-Intestinal System
0202020U0AAABAB,Torasemide,Torasemide 5mg tablets,02: Cardiovascular System
0202040T0AAAAAA,Spironolactone with loop diuretics,Spironolactone 50mg / Furosemide 20mg capsules,02: Cardiovascular System
0205051U0AAAFAF,Trandolapril,Trandolapril 4mg capsules,02: Cardiovascular System
0205052ABAAABAB,Olmesartan medoxomil/amlodipine,Olmesartan medoxomil 40mg / Amlodipine 5mg tablets,02: Cardiovascular System
0205052B0AAABAB,Olmesartan medoxomil,Olmesartan medoxomil 20mg tablets,02: Cardiovascular System
0205052V0AAADAD,Valsartan,Valsartan 40mg tablets,02: Cardiovascular System
0205052V0AAAFAF,Valsartan,Valsartan 320mg tablets,02: Cardiovascular System
0206020C0BBAAAA,Diltiazem hydrochloride,Tildiem 60mg modified-release tablets,02: Cardiovascular System
0206020C0BBABAC,Diltiazem hydrochloride,Tildiem Retard 90mg tablets,02: Cardiovascular System
0206020R0AAARAR,Nifedipine,Nifedipine 20mg modified-release tablets,02: Cardiovascular System
0206020R0BGACBE,Nifedipine,Coracten XL 30mg capsules,02: Cardiovascular System
0206020R0BGADBF,Nifedipine,Coracten XL 60mg capsules,02: Cardiovascular System
0206020R0BWAAAE,Nifedipine,Tensipine MR 10 tablets,02: Cardiovascular System
0206030Z0BBAAAA,Ranolazine,Ranexa 375mg modified-release tablets,02: Cardiovascular System
0301011U0BBAFAH,Salmeterol,Serevent 25micrograms/dose Evohaler,03: Respiratory System
0301011X0BBAAAA,Indacaterol maleate,Onbrez Breezhaler 150microgram inhalation pdr caps with dev,03: Respiratory System
0301020Q0AAADAD,Tiotropium bromide,Tiotropium bromide 10microgram inhalation pdr caps with dev,03: Respiratory System
